"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"72961","GRAACE & ABLE","6.13441","100.00","0.38","2025-07-23","green","none","57.1721","no","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","69","US","Grace  Able empowers women with arthritis with better joint support.  Check out our colorful Compression Gloves and comfy Wrist Braces - 96% of customers survey say that Grace  Able joint support relieves their pain and swelling.","https://ui.awin.com/images/upload/merchant/profile/72961.png","https://WWW.GRACEANDABLE.COM"
"73099","Rocky Mountain Oils","4.9075","100.00","0.89","2025-07-17","green","none","55.9968","yes","yes","0","0","0","0","45","Retail & Shopping","Health & Beauty","Health & Beauty","71","US","Rocky Mountain Oils is a natural lifestyle brand built on the belief that Mother Nature provides the best ingredients to improve health, wellness, and beauty. We know that many people have trouble finding effective, truly natural products. That","https://ui.awin.com/images/upload/merchant/profile/73099.png","https://www.rockymountainoils.com"
"73105","The Pelvic People","2.25272","100.00","0.24","2025-07-23","green","none","53.2772","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","68","US","","https://ui.awin.com/images/upload/merchant/profile/73105.png","https://www.thepelvicpeople.com"
"73181","Gene Food, Inc. ","3.37751","100.00","2.01","2025-07-23","green","none","54.5788","yes","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","73","US","Gene Food is one of the most trusted names in personalized nutrition. Our affiliate program (view online store here) applies to raw DNA uploads as well as DNA Test Kit purchases.  

We are now offering 15%","https://ui.awin.com/images/upload/merchant/profile/73181.png","https://mygenefood.app"
"75790","Berry White Inc.","","0.00","0.00","2025-07-24","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","68","US","Hygiene Hero is a safe and effective natural hygiene wellness brand with a focus on women's intimate care.

We believe in the power of self-love and that intimate care is an expression of ultimate self-love. We believe there is a hero within e",,"https://hygiene-hero.com"
"75894","Triple Eight Distribution","4.55368","100.00","0.17","2025-07-29","green","none","55.5711","yes","yes","0","0","0","0","30","Retail & Shopping","Sports Equipment","Sports Equipment","71","US","Welcome to the Triple Eight Partner Program


The Triple Eight team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your audience!


We’ve cre","https://ui.awin.com/images/upload/merchant/profile/75894.png","https://triple8.com"
"76030","SmartEdge Picks","","0.00","0.00","2025-07-29","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping|Telco's & Services","Sports Equipment|Gambling & Competitions","Gambling & Competitions","null","US","Welcome to the SmartEdge™ Picks Affiliate Program, your gateway to revolutionizing how you earn in the sports betting landscape.

As a pioneer in AI-based sports betting picks, predictions, and insights, SmartEdge is dedicated to empow","https://ui.awin.com/images/upload/merchant/profile/76030.png","https://smartedgepicks.com"
"74490","Oscarware, Inc.","","0.00","0.00","2025-07-23","green","none","0","no","yes","0","0","0","0","45","Retail & Shopping","Home & Garden","Home & Garden","null","US","
Introduction:
Oscarware® has been making outdoor cooking delicious since 1989. Oscarware is home of the original Grill Topper and is the leading manufacturer of both disposable and porcelain coated Grill Topper","https://ui.awin.com/images/upload/merchant/profile/74490.png","https://oscarwareinc.com"
"74606","Quik Commerce Inc","15.7246","60.00","0.89","2025-07-23","green","none","75.7559","yes","yes","0","0","0","0","90","Retail & Shopping","Home & Garden|Pets & Pet Care","Home & Garden","20","US","



	
	
	","https://ui.awin.com/images/upload/merchant/profile/74606.png","https://peta2z.com/"
"74772","Windmill","2.58814","97.36","0.27","2025-07-21","green","none","52.4268","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","69","US","Windmill is redefining home air care with modern window ACs and purifiers. Earn 5%+ commission per sale, with higher rates for top partners. Join for exclusive creatives, seasonal promos, and dedicated affiliate support.","https://ui.awin.com/images/upload/merchant/profile/74772.png","https://windmillair.myshopify.com/pages/affiliate"
"77150","XGIMI LIMITED","","0.00","0.00","2025-06-19","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Audio Visual|Computers|Electronic Accessories|Electronic Superstore|Entertainment Superstore|FMCG|Furniture & Soft Furnishings|Home & Garden|PC & Video Games","Computers","99","US","XGIMI, a leading brand in smart projectors known for combining top-notch image quality with sleek design, ranked NO.1 in the Asian market and NO.2 in Europe.","https://ui.awin.com/images/upload/merchant/profile/77150.png","https://us.xgimi.com/"
"77396","K18 Hair","3.07085","98.86","0.14","2025-06-25","green","none","53.5705","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","70","US","
  
    ","https://ui.awin.com/images/upload/merchant/profile/77396.png","https://www.k18hair.com"
"73337","Averylily","","0.00","0.00","2025-07-23","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","null","US","","https://ui.awin.com/images/upload/merchant/profile/73337.png","https://www.averylily.com"
"73405","MANEPRINT","2.49637","100.00","0.06","2025-08-05","green","none","76.8357","yes","yes","0","0","0","0","7","Retail & Shopping","Health & Beauty","Health & Beauty","50","US","MANEPRINT is more than a hair care retailer—we’re your go-to source for clean, effective solutions that support healthy, youthful hair at every stage. From scalp health to styling, we curate thoughtful products and routines designed to work toge","https://ui.awin.com/images/upload/merchant/profile/73405.png","https://www.maneprint.com"
"73644","Calgee","","0.00","0.00","2025-07-24","green","none","0","yes","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","



body {background-color: #fff;}
h2   {color: #0062a7;}
h3   {color: #0062a7;}
p    {color: #0062a7;}



Affiliate program:
Welcome to the Calgee affiliate program! We ar","https://ui.awin.com/images/upload/merchant/profile/73644.png","https://calgee.com"
"73664","Real Dog Box","2.43831","100.00","0.03","2025-07-29","green","none","53.4417","yes","yes","0","0","0","0","45","Retail & Shopping","Home & Garden","Home & Garden","72","US","




","https://ui.awin.com/images/upload/merchant/profile/73664.png","https://real.dog/offers/free-meatballs"
"73778","Barefaced","1.02898","100.00","0.26","2025-07-17","green","none","52.0545","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","70","US","Barefaced® is a direct-to-consumer skincare brand dedicated to simplify your skincare routine with results driven products that work. We make it personal, the way skincare should be. The secret to long-term skin health is consistently using a ro","https://ui.awin.com/images/upload/merchant/profile/73778.png","https://www.barefaced.com"
"73954","CG Hunter","6.49541","100.00","1.72","2025-07-17","green","none","57.6676","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","69","US","Our Story:

CG Hunter is a top-tier designer, producer, and distributor of luxury faux plants, flowers, and holiday and home decor, offering a wide range of realistic-looking plants for homes, businesses, and vacation rentals. Each plant is ha","https://ui.awin.com/images/upload/merchant/profile/73954.png","https://www.cghunter.com"
"75150","ANB Baby NY, LLC","3.13889","100.00","0.37","2025-05-21","green","none","54.1759","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","66","US","Welcome to the ANB Baby Partner Program



The ANB Baby team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your members!



We’ve created g","https://ui.awin.com/images/upload/merchant/profile/75150.png","https://www.anbbaby.com"
"71165","GE Appliances Professional Discounts (US)","3.24349","95.41","1.34","2024-03-12","green","none","75.6435","no","no","0","0","0","0","30","Retail & Shopping","DIY|Electronic Accessories|Gadgets|Green (Eco friendly)|Home & Garden","Home & Garden","39","US","For more than 100 years, GE Appliances has been a trusted name, synonymous with quality and reliability. When you buy from us, you don't just get an appliance, you become a member of our family — a family you can rely on for the life of your appliance.","https://ui.awin.com/images/upload/merchant/profile/71165.png","https://www.myapstore.com/GEStore/idme/idmeout"
"71317","JUNSKY US INC","","0.00","0.00","2025-05-22","green","none","0","yes","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","null","US","","https://ui.awin.com/images/upload/merchant/profile/71317.png","https://Camplux.com"
"71603","Club Sweat","","0.00","0.00","2025-08-12","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Sports Equipment","Sports Equipment","null","US","Join the Club Sweat Digital Affiliate Program: Sculpt, Sweat, Succeed! ??

Are you passionate about fitness, wellness, and helping others achieve their health goals? Welcome to Club Sweat Digital – where innovation meets motivation! We'r","https://ui.awin.com/images/upload/merchant/profile/71603.png","https://Www.club-sweat.com"
"72087","MASAMI","8.02309","48.00","0.51","2025-08-12","green","none","65.6743","yes","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","24","US","MASAMI is a premium clean haircare line with a unique Japanese ocean botanical, Mekabu, for the ultimate in botanically hydrated hair.  No bad ingredients (no sulfates, parabens, or phthalates).  Vegan and cruelty free, MASAMI works for virtuall","https://ui.awin.com/images/upload/merchant/profile/72087.png","https://www.lovemasami.com/collections/everything"
"71023","Bloom and Rise, LLC","","0.00","0.00","2025-07-23","green","none","0","yes","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","null","US","We are Bloom and Rise, a women-owned company that carefully curates birth, nursing, postpartum, mom and baby, mom and toddler, and sibling boxes.  The boxes are created by perinatal and infant mental health therapists with careful attention to a","https://ui.awin.com/images/upload/merchant/profile/71023.png","https://www.bloom-and-rise.com"
"86609","JUNSKY USA INC","3.21467","100.00","0.50","2025-07-23","green","none","82.931","no","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","26","US","","https://ui.awin.com/images/upload/merchant/profile/86609.png","https://thermomate.com"
"86703","Lumaflex LLC","","0.00","0.00","2025-07-24","green","none","0","yes","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","Lumaflex is the world’s leading portable red light therapy device—flexible, waterproof, award-winning, and GSA approved. Ideal for editorial and wellness publishers seeking high AOV, science-backed products. www.lumaflex.com","https://ui.awin.com/images/upload/merchant/profile/86703.png","https://www.lumaflex.com"
"84415","RoseToy.com","","0.00","0.00","2025-08-05","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","RoseToy.com is the official website for the viral rose toy vibrator. Known for premium quality and iconic design, we offer fast free shipping, 100% discreet packaging, and a full 2-year warranty on all toys.","https://ui.awin.com/images/upload/merchant/profile/84415.png","https://rosetoy.com/"
"83865","Newton Baby, Inc.","2.33991","97.19","0.52","2025-06-23","green","none","52.1299","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","69","US","
.container { width: 650px; height: auto; margin:  0px auto;}
.header { width: 100%; height: 70px;  }
.header p { margin: 0px; text-align: right; font-family: Georgia, ""Times New Roman"", Times, serif; font-size: 10px;}","https://ui.awin.com/images/upload/merchant/profile/83865.png","https://www.newtonbaby.com/?utm_source=shareasale&utm_medium=affiliate&utm_campaign=!!USERID!!&utm_content=text&c3ch=ShareASale&c3nid=[PUBLISHER%20ID]"
"83883","Elimidrol","0.0840336","100.00","0.02","2025-07-30","green","none","51.0863","yes","yes","0","0","0","0","365","Retail & Shopping","Health & Beauty","Health & Beauty","70","US","ELIMIDROL® – Mood Enhancement and Intermittent Anxiety Relief Supplement


","https://ui.awin.com/images/upload/merchant/profile/83883.png","https://www.elimidrol.com"
"84227","Lifestyle Barn, LLC","5.77264","45.24","0.90","2025-07-29","green","none","56.2199","yes","yes","0","0","0","0","60","Retail & Shopping","Home & Garden","Home & Garden","47","US","At Lifestyle Barn (dba Modern Blaze, Patio Fever), we lead in ventless fireplaces  outdoor heating. Join our affiliate program to promote premium products and earn competitive commissions. Turn your influence into income with a trusted, innovative brand.","https://ui.awin.com/images/upload/merchant/profile/84227.png","https://modernblaze.com"
"84935","Tennis Warehouse Australia Pty Ltd","","0.00","0.00","2025-07-29","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Sports Equipment","Sports Equipment","null","US","Join the Spinfire Affiliate Program

Spinfire is a global leader in high-performance ball machines, trusted by athletes and coaches worldwide. While we began as tennis specialists, we've expanded into cutting-edge tr","https://ui.awin.com/images/upload/merchant/profile/84935.png","https://www.spinfiresport.com/product/spinfire-pro-2-ball-machine"
"85027","The Home Security Superstore","4.42322","100.00","0.17","2025-06-25","green","none","55.4404","yes","yes","0","0","0","0","60","Retail & Shopping","Home & Garden","Home & Garden","69","US","OUR MISSION IS YOU AND YOUR FAMILY'S SAFETY AND SECURITY.Founded in 2003 The Home Security Superstore offers an array of products focused on six important areas of personal well being; security, self-defense, surveillance, spy, safety and su","https://ui.awin.com/images/upload/merchant/profile/85027.png","https://www.thehomesecuritysuperstore.com"
"85095","The Personal Barber","25","100.00","1.07","2025-07-30","green","none","61.1074","yes","yes","0","0","0","0","45","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","
The Personal Barber offers ""the ultimate shaving experience""  subscription box for luxury wet shaving products.  Every 6 weeks our members receive hand-picked choices of the best shaving products available. 
Currently, ThePers","https://ui.awin.com/images/upload/merchant/profile/85095.png","https://www.thepersonalbarber.com"
"85307","Motif Medical","6.86726","100.00","0.49","2025-07-23","green","none","81.9159","no","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","24","US","Motif Medical provides modern solutions for the modern mom. We specialize in breast pumps, milk storage, and postpartum recovery products that support every stage of the breastfeeding journey. Trusted by parents and covered by insurance, our products are","https://ui.awin.com/images/upload/merchant/profile/85307.png","https://motifmedical.com"
"85457","Skintensive","0.447958","85.71","0.03","2025-08-04","green","none","45.0223","yes","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","68","US","Promote Skintensive’s science-backed skincare for maturing skin. Earn 10% commission, 90-day cookies, and access to high-converting products like Bruise Cream. Join the Awin affiliate program and support clean, dermatologist-developed skincare.","https://ui.awin.com/images/upload/merchant/profile/85457.png","https://www.skintensive.com"
"82581","Intrinsic Hemp","5.39062","100.00","0.18","2025-07-30","green","none","73.0749","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","35","US","Welcome to the IntrinsicHemp.com Partner Program!


The Intrinsic Hemp team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your members!


We’ve created genera","https://ui.awin.com/images/upload/merchant/profile/82581.png","https://intrinsichemp.com"
"82633","Lia Griffith Media","1.57191","100.00","0.04","2025-08-12","green","none","52.5755","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","70","US","Welcome to the Lia Griffith Affiliate Community!

The LiaGriffith.com site is focused on craft memberships that empower a brilliant crafting community.  Since launching a lifestyle site with her first paper rose in 2013, Lia and her team have","https://ui.awin.com/images/upload/merchant/profile/82633.png","https://feltpaperscissors.com"
"82723","Natural Wonder Pets","4.41934","96.00","0.29","2025-07-24","green","none","84.9814","yes","yes","0","0","0","0","7","Retail & Shopping","Home & Garden|Pets & Pet Care","Pets & Pet Care","17","US","Send a visitor to me once...and receive a lifetime of repeat commissions!
Our customers love us because we are not mass merchandisers. We specialize in premium, all-natural pet health care products","https://ui.awin.com/images/upload/merchant/profile/82723.png","https://www.natural-wonder-pets.com"
"83079","IntoleranceLab","1.83983","100.00","0.07","2025-07-30","green","none","56.847","yes","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","59","US","
","https://ui.awin.com/images/upload/merchant/profile/83079.png","https://www.intolerancelab.co.uk"
"83085","VIO2 LLC","0.974678","100.00","0.04","2025-07-23","green","none","51.9792","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","69","US","A breath of fresh air can make a world of difference. We at VIO2™ know this. That's why we created this small, safe and easy to use advanced mouth trainer to help gently promote nasal breathing, day or night. Whether you are looking to better yo","https://ui.awin.com/images/upload/merchant/profile/83085.png","https://www.vio2tape.com"
"83135","Biogetica","1.49411","100.00","0.21","2025-07-23","green","none","52.5153","yes","yes","0","0","0","0","60","Retail & Shopping","Health & Beauty","Health & Beauty","71","US","



	
	
	","https://ui.awin.com/images/upload/merchant/profile/83135.png","https://www.biogetica.com"
"83351","Shedavi","2.12742","74.67","0.15","2025-05-22","green","none","41.7422","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","69","US","Since its creation in 2016, Shedavi has revolutionized the hair care industry by pioneering a holistic approach towards healthy hair: being safe, clean, vegan, nature-based, high quality, and high performance products that work inside and out. A","https://ui.awin.com/images/upload/merchant/profile/83351.png","https://www.shedavi.com"
"93175","Alkamind, LLC","","0.00","0.00","2025-08-05","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","","https://ui.awin.com/images/upload/merchant/profile/93175.png","https://www.getoffyouracid.com"
"93293","Juna","1.69323","100.00","0.23","2025-08-05","green","none","52.7159","no","yes","0","0","0","0","60","Retail & Shopping","Health & Beauty","Health & Beauty","70","US","At Juna we are formulating the most effective and sustainable wellness products for our modern world. We formulate plant powered- cbd infused products to optimize mind body mood and sleep. We know that women everywhere are more sleep deprived, s","https://ui.awin.com/images/upload/merchant/profile/93293.png","https://juna-world.com"
"93389","Botany Farms","","0.00","0.00","2025-07-02","green","none","0","yes","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","103","US","Welcome to Botany Farms’s Affiliate Program! 
We are a premium CBD (hemp) flower company.
Our quality of flower sets us apart from the competition. We hang dry, cure, and trim all our cannabis by hand.
Craft is what we do and","https://ui.awin.com/images/upload/merchant/profile/93389.png","https://botanyfarms.com"
"93427","Figgy Play","","0.00","0.00","2025-06-18","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","85","US","Figgy is the first waterproof play couch, made for screen-free play, sensory exploration, and modern family living. Montessori-inspired and made in the USA.","https://ui.awin.com/images/upload/merchant/profile/93427.png","https://figgyplay.com"
"93929","Lemyn Organics","","0.00","0.00","2025-07-30","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","At Lemyn Organics, we’re on a mission to make cleaner, simpler, earth-friendly products that put people first. Our team of experts creates formulas that have passed the toughest green science standards and clinical trials. Uncomplicated and i","https://ui.awin.com/images/upload/merchant/profile/93929.png","https://lemyn.com"
"93941","Cold Picnic","8.35344","99.62","2.43","2025-08-06","green","none","90.7565","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","24","US","Cold Picnic is a New York-based studio that produces homegoods including blankets, quilts, pillows and rugs. Our average basket is $425, our best-selling category is rugs and we offer a 10% commission baseline. Please reach out with VIP requests.","https://ui.awin.com/images/upload/merchant/profile/93941.png","https://coldpicnic.com"
"93953","Staff","","0.00","0.00","2025-07-30","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","null","US","Staff is a home essentials brand all about color and character :)

By bringing playful design to overlooked utilitarian objects, we aim to pep up living spaces, create delightful moments out of mundanity, and add amusement to chores.

Our la","https://ui.awin.com/images/upload/merchant/profile/93953.png","https://meetyourstaff.co"
"94101","Hello Health","","0.00","0.00","2025-08-05","green","none","0","no","yes","0","0","0","0","60","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","

","https://ui.awin.com/images/upload/merchant/profile/94101.png","https://hello.health"
"94111","Native Atlas","10.1433","100.00","0.67","2025-07-30","green","none","61.0669","yes","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","69","US","
 



","https://ui.awin.com/images/upload/merchant/profile/94111.png","https://nativeatlas.com"
"94167","Damila","","0.00","0.00","2025-08-05","green","none","0","yes","yes","0","0","0","0","60","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","BECOME A DAMILA AFFILIATE PARTNER

Thank you for your interest in the Damila affiliate program. We always seek partnerships with fashion, lifestyle, food, and beauty bloggers, sites, and apps.

KERATIN INFUSED HAIR","https://ui.awin.com/images/upload/merchant/profile/94167.png","https://damila.com"
"94227","Field + Supply","","0.00","0.00","2025-07-30","green","none","0","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","null","US","Field + Supply is a carefully curated online marketplace representing artisans, makers, and designers from a variety of studios offering a wide range of products.  Field + Supply customers are sophisticated shoppers with an appreciation for grea","https://ui.awin.com/images/upload/merchant/profile/94227.png","https://fieldandsupply.com"
"94485","Fenwick Fields, LLC","","0.00","0.00","2025-07-30","green","none","0","yes","yes","0","0","0","0","90","Retail & Shopping","Home & Garden","Home & Garden","null","US","Fenwick Fields designs artist illustrated prints and solid table linens sewn by hand in Dallas, TX. Our fine linens are heirloom quality and created to add whimsy to elegant and casual settings. We offer a 10% commission and the average sale is","https://ui.awin.com/images/upload/merchant/profile/94485.png","https://www.fenwickfields.com"
"93547","MicroSpear Solutions LLC","","0.00","0.00","2025-08-12","green","none","0","no","yes","0","0","0","0","60","Retail & Shopping","Home & Garden","Home & Garden","null","US","Welcome to the Microspears Partner Program!

The Microspears team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your members!

We’ve created general","https://ui.awin.com/images/upload/merchant/profile/93547.png","https://www.microspears.com"
"93669","Gobiotix LLC","","0.00","0.00","2025-08-12","green","none","0","no","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","","https://ui.awin.com/images/upload/merchant/profile/93669.png","https://gobiotix.com"
"93695","Food valley SRL","4.82759","100.00","0.37","2025-07-24","green","none","58.5313","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","65","US","We sell tools for handmade pasta. All products are made in Italy. We have wooden rolling pins, pasta boards, ravioli stamps, pasta cutting wheels, manual dough extruders, pasta dryers and many other products. 

We offer a 12% commission","https://ui.awin.com/images/upload/merchant/profile/93695.png","https://www.tagliapasta.com"
"93733","Sunset Snuggles","","0.00","0.00","2025-07-30","green","none","0","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","null","US","Sunset Snuggles are the blankets of your dreams!  Extended throw sized blankets that feel like butter and have prints inspired by Instagram’s hottest influencers.  Our blanket are knit from micro-chenille yarn.  Priced at $100-$130 with a 10% co","https://ui.awin.com/images/upload/merchant/profile/93733.png","https://www.sunsetsnuggles.com"
"93811","Balau Brands Pte. Ltd.","","0.00","0.00","2025-07-30","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","null","US","Welcome to the BABY DEEDEE Partner Program!


The BABY DEEDEE team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your members!


We’ve created general offers","https://ui.awin.com/images/upload/merchant/profile/93811.png","https://www.babydeedee.com"
"94705","Fresh Peaches","14.2157","100.00","1.12","2025-07-24","green","none","61.1116","yes","yes","0","0","0","0","60","Retail & Shopping","Home & Garden","Home & Garden","71","US","Fresh Peaches Wet Wipe Gel is designed to be applied and used with your favorite toilet paper. The Starter Set comes with an at-home 5oz bottle and an on-the-go Pocket bottle. ($20) 
The gel will stay on top of any toilet paper without break","https://ui.awin.com/images/upload/merchant/profile/94705.png","https://freshpeaches.co"
"94799","Sleepy Cotton","","0.00","0.00","2025-08-05","green","none","0","no","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","null","US","About Sleepy Cotton
Sleepy Cotton is a dog skincare startup. Dogs deserve self-care days too! We are a true American brand. All of our products are produced in Sleepy Cotton fac","https://ui.awin.com/images/upload/merchant/profile/94799.png","https://sleepycotton.com"
"94811","Berlin Skin","","0.00","0.00","2025-07-30","green","none","0","yes","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","null","US","Berlin Skin is a clean, unisex skin care line that specializes in creating high-functioning products for the face, body, and mind. Our products have been featured in Vogue, Byrdie, CR Fashion Book, HGTV, and more. We are a design-centric brand a","https://ui.awin.com/images/upload/merchant/profile/94811.png","https://berlinskin.com"
